"price","volume","yard","area","rooms","sleeping","iso","hood","garden","balcony","garage","age","openh","paint","days","mALM","mAMS","mBRE","mDHA","mEIN","mGRO","mNIJ","mROT","mTIL","mUTR"
350000,1020,77,191,10,6,0,"Benedenstad",0,0,0,39,0,0,99,0,0,0,0,0,0,1,0,0,0
325000,248,0,76,3,2,0,"Hengstdal",0,0,0,86,0,0,43,0,0,0,0,0,0,1,0,0,0
200000,345,254,95,5,4,0,"Neerbosch-Oost",1,0,1,54,0,0,19,0,0,0,0,0,0,1,0,0,0
189000,305,198,86,4,3,0,"&#39;t Acker",1,0,0,38,0,0,40,0,0,0,0,0,0,1,0,0,0
195000,395,203,109,4,3,0,"Zwanenveld",1,0,0,45,0,0,22,0,0,0,0,0,0,1,0,0,0
369000,365,0,126,4,3,0,"Hunnerberg",0,0,0,61,0,0,12,0,0,0,0,0,0,1,0,0,0
475000,484,0,130,6,3,0,"Bottendaal",0,0,0,96,0,0,42,0,0,0,0,0,0,1,0,0,0
700000,1005,208,216,9,8,0,"Galgenveld",1,0,0,109,0,0,21,0,0,0,0,0,0,1,0,0,0
192500,295,241,85,4,3,0,"&#39;t Acker",1,0,0,37,0,0,57,0,0,0,0,0,0,1,0,0,0
219000,221,0,63,3,2,0,"Stadscentrum",0,0,0,61,0,0,7,0,0,0,0,0,0,1,0,0,0
325000,389,170,105,5,4,0,"St. Anna",1,0,1,62,0,0,42,0,0,0,0,0,0,1,0,0,0
625000,754,378,170,7,5,0,"Groenewoud",1,0,0,97,0,0,148,0,0,0,0,0,0,1,0,0,0
425000,480,0,141,4,2,0,"Ooyse Schependom",1,0,0,15,0,0,18,0,0,0,0,0,0,1,0,0,0
1295000,1190,1018,222,10,4,0,"Kwakkenberg",1,1,0,91,1,0,143,0,0,0,0,0,0,1,0,0,0
245000,356,159,96,4,3,0,"Hatert",1,0,0,57,0,0,36,0,0,0,0,0,0,1,0,0,0
350000,406,190,108,5,4,0,"Hatertse Hei",1,0,1,32,0,0,31,0,0,0,0,0,0,1,0,0,0
550000,679,240,172,6,4,0,"",1,0,1,0,0,0,58,0,0,0,0,0,0,1,0,0,0
600000,753,407,198,6,5,0,"Galgenveld",1,0,1,64,0,0,58,0,0,0,0,0,0,1,0,0,0
490000,500,0,149,3,2,0,"Hengstdal",0,0,1,15,0,0,14,0,0,0,0,0,0,1,0,0,0
500000,701,105,178,6,3,0,"Benedenstad",1,0,0,138,0,0,66,0,0,0,0,0,0,1,0,0,0
199500,325,163,91,4,3,0,"Weezenhof",1,0,1,46,0,0,64,0,0,0,0,0,0,1,0,0,0
239500,284,0,78,3,2,0,"Heseveld",0,0,0,7,0,0,35,0,0,0,0,0,0,1,0,0,0
150000,160,0,50,3,1,0,"Heseveld",0,1,0,69,0,0,18,0,0,0,0,0,0,1,0,0,0
225000,340,175,93,5,4,0,"Zwanenveld",1,0,0,46,0,0,49,0,0,0,0,0,0,1,0,0,0
269000,295,0,98,3,2,0,"Kerkenbos",0,0,1,17,0,0,74,0,0,0,0,0,0,1,0,0,0
145000,346,135,97,4,0,0,"Zwanenveld",1,0,0,45,0,0,47,0,0,0,0,0,0,1,0,0,0
570000,575,320,163,5,0,0,"Hees",1,0,1,33,0,0,24,0,0,0,0,0,0,1,0,0,0
395000,538,190,115,4,2,0,"Bottendaal",1,0,1,116,0,0,3,0,0,0,0,0,0,1,0,0,0
208500,300,150,94,4,3,0,"Grootstal",1,0,0,59,0,0,1,0,0,0,0,0,0,1,0,0,0
319000,465,140,142,5,4,0,"Oosterhout",1,0,0,14,0,0,1,0,0,0,0,0,0,1,0,0,0
450000,512,350,121,6,5,0,"Grootstal",1,0,1,86,0,0,121,0,0,0,0,0,0,1,0,0,0
155000,154,0,47,2,1,0,"Grootstal",0,1,0,11,0,0,8,0,0,0,0,0,0,1,0,0,0
185000,225,0,65,3,2,0,"St. Anna",0,0,0,58,0,0,24,0,0,0,0,0,0,1,0,0,0
199000,155,0,48,2,1,0,"Galgenveld",0,1,0,43,0,0,30,0,0,0,0,0,0,1,0,0,0
285000,451,0,120,8,4,0,"Biezen",0,0,0,94,0,0,59,0,0,0,0,0,0,1,0,0,0
438500,612,271,159,5,0,0,"Oosterhout",1,0,0,47,0,0,9,0,0,0,0,0,0,1,0,0,0
438500,612,271,159,5,0,0,"Oosterhout",1,0,0,47,0,0,9,0,0,0,0,0,0,1,0,0,0
438500,612,271,159,5,0,0,"Oosterhout",1,0,0,47,0,0,10,0,0,0,0,0,0,1,0,0,0
550000,368,0,103,3,2,0,"",0,0,1,4,0,0,25,0,0,0,0,0,0,1,0,0,0
